447315	4	470397
461695	4	470264
447326	4	470397
449918	4	470397
448880	4	470364
449527	4	470397
447446	4	470397
440116	4	470386
460585	4	470122
455179	4	470397
437053	4	470225
446448	4	470126
461798	4	470459
440810	4	470126
467551	4	470294
442544	4	470413
463940	4	470510
455083	4	470261
434968	4	470397
463489	4	470397
457267	4	470397
454111	4	470129
439854	4	470129
436972	4	470453
460469	4	470162
445013	4	470520
467730	4	470397
460723	4	470137
459463	4	470397
437166	4	470397
463926	4	470371
444143	4	470397
435211	4	470397
458687	4	470397
452642	4	470397
462620	4	470143
443466	4	470272
442584	4	470262
438194	4	470317
435511	4	470397
436145	4	470123
443600	4	470397
438180	4	470502
441269	4	470527
465431	4	470276
448143	4	470397
466506	4	470310
463460	4	470298
436885	4	470397
451713	4	470293
461883	4	470310
448320	4	470397
449437	4	470510
456942	4	470507
455727	4	470397
442403	4	470397
447562	4	470397
455911	4	470397
439924	4	470122
459966	4	470397
444991	4	470132
451149	4	470397
462053	4	470397
464620	4	470195
454711	4	470397
452156	4	470397
438978	4	470397
443899	4	470397
445604	4	470122
466533	4	470201
466212	4	470397
464393	4	470199
434988	4	470126
438804	4	470397
468830	4	470276
457146	4	470397
445050	4	470397
456148	4	470199
455165	4	470397
468176	4	470397
460541	4	470397
451810	4	470397
463038	4	470129
435552	4	470397
444966	4	470397
447690	4	470371
467848	4	470500
467460	4	470167
467531	4	470225
448488	4	470285
456747	4	470492
448752	4	470332
468312	4	470397
455170	4	470311
449862	4	470413
444138	4	470397
459768	4	470262
456642	4	470397
462142	4	470493
462831	4	470356
456135	4	470397
456421	4	470141
458440	4	470397
449467	4	470397
444634	4	470395
457229	4	470397
436732	4	470397
450884	4	470285
440478	4	470126
440420	4	470371
459559	4	470397
465422	4	470397
467046	4	470349
439584	4	470397
459378	4	470310
456705	4	470397
467480	4	470397
453271	4	470350
463010	4	470397
435721	4	470397
438487	4	470397
442299	4	470376
463090	4	470459
463844	4	470485
460160	4	470510
449284	4	470201
461047	4	470502
450176	4	470310
463772	4	470298
455805	4	470397
438843	4	470261
447176	4	470220
449489	4	470143
466106	4	470310
468141	4	470397
462345	4	470397
437645	4	470397
450883	4	470397
467678	4	470386
441992	4	470397
458625	4	470397
451908	4	470397
448638	4	470397
450637	4	470360
436466	4	470371
435462	4	470147
448910	4	470397
459924	4	470338
442820	4	470220
443550	4	470360
435930	4	470183
467651	4	470397
468031	4	470397
445276	4	470364
450521	4	470162
437538	4	470338
435870	4	470298
463826	4	470183
456431	4	470161
451871	4	470500
464454	4	470397
467521	4	470397
450341	4	470332
467047	4	470397
453588	4	470293
460446	4	470397
452270	4	470371
446612	4	470317
